q_text,q_num,section
"The last 6 questions asked about feelings that might have occurred during the past 30 days. Taking them altoghether, did these feelings occur more often in the past 30 days than is usual for you, about the same as usual, or less often than usual?",q659,a_section
"During the past 30 days, how many days out of 30 were you totally unable to work or carry out your normal activities because of these feelings?",q660,a_section
"Not counting the days you just reported, how many days in the past 30 days were you able to do only half or less of what you would normally have been able to do, because of these feelings?",q660.A,a_section
"Duirng the past 30 days, how many times did you speak to a health provider (e.g. doctor, nurse, community health worker) about these feelings?",q660.B,a_section
What type of organization are you a leader or have an elected position in? … Anything else?,q671,b_section
Imagine that your house has been completely destroyed by a fire or flood. In these questions we would like to know whether you feel you could go to certain people for help. If you need a little money to buy clothes for you and your family (about 1000 Naira) could you go to... family or relatives?,q674.A,c_section
Neighbors often have similar problems (e.g. about raising children). How confident do you feel about offering advice to your neighbor?,q684,c_section
"Who usually makes decisions about health care for yourself: you, your husband/partner, you and your husband/partner jointly, or someone else?",q686,c_section
"During the past 12 months, how often have you joined together with others in the village/ community to address a common issue, problem, or priority?",q679,b_section
"Please tell me if [NAME] received any of the following vaccinations: BCG vaccination against tuberculosis, that is, an injection in the upper arm/ shoulder that usually causes a scar?",q587,c_section
